Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
BDCQ.SEA1AA,2011.06,80078.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2011.09,78324.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2011.12,85850.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2012.03,90743.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2012.06,81780.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2012.09,79261.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2012.12,87793.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2013.03,91571.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2013.06,81687.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2013.09,81471.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2013.12,93950.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2014.03,97208.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2014.06,85879.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2014.09,84447.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2014.12,95075.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2015.03,98202.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2015.06,87987.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2015.09,84529.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2015.12,96848.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2016.03,99291.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
BDCQ.SEA1AA,2016.06,88716.0,nan,F,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Agriculture, Forestry and Fishing,Actual,nan,nan
